Date(UTC),UnixTimeStamp,Value,
8/15/17,1502755200,286.52,
8/16/17,1502841600,301.38,
8/17/17,1502928000,300.3,
8/18/17,1503014400,292.62,
8/19/17,1503100800,293.02,
8/20/17,1503187200,298.2,
8/21/17,1503273600,321.85,
8/22/17,1503360000,313.37,
8/23/17,1503446400,317.4,
8/24/17,1503532800,325.28,
8/25/17,1503619200,330.06,
8/26/17,1503705600,332.86,
8/27/17,1503792000,347.88,
8/28/17,1503878400,347.66,
8/29/17,1503964800,372.35,
8/30/17,1504051200,383.86,
8/31/17,1504137600,388.33,
9/1/17,1504224000,391.42,
9/2/17,1504310400,351.03,
9/3/17,1504396800,352.45,
9/4/17,1504483200,303.7,
9/5/17,1504569600,317.94,
9/6/17,1504656000,338.92,
9/7/17,1504742400,335.37,
9/8/17,1504828800,306.72,
9/9/17,1504915200,303.79,
9/10/17,1505001600,299.21,
9/11/17,1505088000,297.95,
9/12/17,1505174400,294.1,
9/13/17,1505260800,275.84,
9/14/17,1505347200,223.14,
9/15/17,1505433600,259.57,
9/16/17,1505520000,254.49,
9/17/17,1505606400,258.4,
9/18/17,1505692800,297.53,
9/19/17,1505779200,283,
9/20/17,1505865600,283.56,
9/21/17,1505952000,257.77,
9/22/17,1506038400,262.94,
9/23/17,1506124800,286.14,
9/24/17,1506211200,282.6,
9/25/17,1506297600,294.89,
9/26/17,1506384000,288.64,
9/27/17,1506470400,309.97,
9/28/17,1506556800,302.77,
9/29/17,1506643200,292.58,
9/30/17,1506729600,302.77,
10/1/17,1506816000,303.95,
10/2/17,1506902400,296.81,
10/3/17,1506988800,291.81,
10/4/17,1507075200,291.68,
10/5/17,1507161600,294.99,
10/6/17,1507248000,308.33,
10/7/17,1507334400,311.26,
10/8/17,1507420800,309.49,
10/9/17,1507507200,296.95,
10/10/17,1507593600,298.46,
10/11/17,1507680000,302.86,
10/12/17,1507766400,302.89,
10/13/17,1507852800,336.83,
10/14/17,1507939200,338.81,
10/15/17,1508025600,336.58,
10/16/17,1508112000,334.23,
10/17/17,1508198400,316.14,
10/18/17,1508284800,313.54,
10/19/17,1508371200,307.41,
10/20/17,1508457600,303.08,
10/21/17,1508544000,299.55,
10/22/17,1508630400,294.03,
10/23/17,1508716800,285.27,
10/24/17,1508803200,296.5,
10/25/17,1508889600,296.35,
10/26/17,1508976000,295.54,
10/27/17,1509062400,296.36,
10/28/17,1509148800,293.35,
10/29/17,1509235200,304.04,
10/30/17,1509321600,306.8,
10/31/17,1509408000,303.64,
11/1/17,1509494400,289.42,
11/2/17,1509580800,284.92,
11/3/17,1509667200,304.51,
11/4/17,1509753600,300.04,
11/5/17,1509840000,296.23,
11/6/17,1509926400,296.82,
11/7/17,1510012800,291.84,
11/8/17,1510099200,307.35,
11/9/17,1510185600,319.66,
11/10/17,1510272000,296.86,
11/11/17,1510358400,314.23,
11/12/17,1510444800,306.02,
11/13/17,1510531200,314.6,
11/14/17,1510617600,334.72,
11/15/17,1510704000,331.2,
11/16/17,1510790400,330.32,
11/17/17,1510876800,331.72,
11/18/17,1510963200,346.65,
11/19/17,1511049600,354.6,
11/20/17,1511136000,367.71,
11/21/17,1511222400,360.52,
11/22/17,1511308800,380.84,
11/23/17,1511395200,406.57,
11/24/17,1511481600,470.43,
11/25/17,1511568000,464.61,
11/26/17,1511654400,470.54,
11/27/17,1511740800,475.24,
11/28/17,1511827200,466.27,
11/29/17,1511913600,427.42,
11/30/17,1512000000,434.85,
12/1/17,1512086400,461.58,
12/2/17,1512172800,457.96,
12/3/17,1512259200,462.81,
12/4/17,1512345600,466.93,
12/5/17,1512432000,453.96,
12/6/17,1512518400,422.48,
12/7/17,1512604800,421.15,
12/8/17,1512691200,451.74,
12/9/17,1512777600,472.86,
12/10/17,1512864000,436.49,
12/11/17,1512950400,513.29,
12/12/17,1513036800,656.52,
